,City,County,Pop_2010,Area_SqMi
0,Jurupa Valley,Riverside,95004,43.7
1,San Jose,Santa Clara,945942,176.53
2,San Francisco,San Francisco,805235,46.87
3,Eastvale,Riverside,53670,13.1
4,Fresno,Fresno,494665,111.96
5,Sacramento,Sacramento,466488,97.92
6,Long Beach,Los Angeles,462257,50.29
7,Los Angeles,Los Angeles,3792621,468.67
8,Oakland,Alameda,390724,55.79
9,Bakersfield,Kern,347483,142.16
10,Anaheim,Orange,336265,49.84
11,Santa Ana,Orange,324528,27.27
12,Riverside,Riverside,303871,81.14
13,Stockton,San Joaquin,291707,61.67
14,Chula Vista,San Diego,243916,49.63
15,Fremont,Alameda,214089,77.46
16,Irvine,Orange,212375,66.11
17,San Bernardino,San Bernardino,209924,59.2
18,Modesto,Stanislaus,201165,36.87
19,San Diego,San Diego,1301617,325.19
20,Oxnard,Ventura,197899,26.89
21,Fontana,San Bernardino,196069,42.43
22,Moreno Valley,Riverside,193365,51.27
23,Glendale,Los Angeles,191719,30.45
24,Huntington Beach,Orange,189992,26.75
25,Santa Clarita,Los Angeles,176320,52.72
26,Garden Grove,Orange,170883,17.94
27,Santa Rosa,Sonoma,167815,41.29
28,Oceanside,San Diego,167086,41.23
29,Rancho Cucamonga,San Bernardino,165269,39.85
30,Ontario,San Bernardino,163924,49.94
31,Lancaster,Los Angeles,156633,94.28
32,Elk Grove,Sacramento,153015,42.19
33,Palmdale,Los Angeles,152750,105.96
34,Corona,Riverside,152374,38.83
35,Salinas,Monterey,150441,23.18
36,Pomona,Los Angeles,149058,22.95
37,Torrance,Los Angeles,145538,20.48
38,Hayward,Alameda,144186,45.32
39,Escondido,San Diego,143911,36.81
40,Sunnyvale,Santa Clara,140081,21.99
41,Pasadena,Los Angeles,137122,22.97
42,Fullerton,Orange,135161,22.35
43,Orange,Orange,134616,24.8
44,Thousand Oaks,Ventura,126683,55.03
45,Visalia,Tulare,124442,36.25
46,Simi Valley,Ventura,124237,41.48
47,Concord,Contra Costa,122067,30.55
48,Roseville,Placer,118788,5.16
49,Santa Clara,Santa Clara,116468,18.41
50,Vallejo,Solano,115942,30.67
51,Victorville,San Bernardino,115903,73.18
52,El Monte,Los Angeles,113475,9.56
53,Berkeley,Alameda,112580,10.47
54,Downey,Los Angeles,111772,12.41
55,Costa Mesa,Orange,109960,15.65
56,Inglewood,Los Angeles,109673,9.07
57,Ventura,Ventura,106433,21.65
58,West Covina,Los Angeles,106098,16.04
59,Norwalk,Los Angeles,105549,9.71
60,Carlsbad,San Diego,105328,37.72
61,Fairfield,Solano,105321,37.39
62,Richmond,Contra Costa,103701,30.07
63,Murrieta,Riverside,103466,33.58
64,Burbank,Los Angeles,103340,17.34
65,Antioch,Contra Costa,102372,28.35
66,Daly City,San Mateo,101123,7.66
67,Temecula,Riverside,100097,30.15
68,Santa Maria,Santa Barbara,99553,22.76
69,El Cajon,San Diego,99478,14.43
70,Rialto,San Bernardino,99171,22.35
71,San Mateo,San Mateo,97207,12.13
72,Compton,Los Angeles,96455,10.01
73,Clovis,Fresno,95631,23.28
74,South Gate,Los Angeles,94396,7.24
75,Vista,San Diego,93834,18.68
76,Mission Viejo,Orange,93305,17.74
77,Vacaville,Solano,92428,28.37
78,Carson,Los Angeles,91714,18.72
79,Hesperia,San Bernardino,90173,73.1
80,Redding,Shasta,89861,59.65
81,Santa Monica,Los Angeles,89736,8.41
82,Westminster,Orange,89701,10.05
83,Santa Barbara,Santa Barbara,88410,19.47
