,Location,Total_2007,MultiFamily(2)_2007,MultiFamily(3to4)_2007,MultiFamily(5)_2007,MultiFamily(all)_2007,SingleFamily_2007,Total_2008,MultiFamily(2)_2008,MultiFamily(3to4)_2008,MultiFamily(5)_2008,MultiFamily(all)_2008,SingleFamily_2008,Total_2009,MultiFamily(2)_2009,MultiFamily(3to4)_2009,MultiFamily(5)_2009,MultiFamily(all)_2009,SingleFamily_2009,Total_2010,MultiFamily(2)_2010,MultiFamily(3to4)_2010,MultiFamily(5)_2010,MultiFamily(all)_2010,SingleFamily_2010,Total_2011,MultiFamily(2)_2011,MultiFamily(3to4)_2011,MultiFamily(5)_2011,MultiFamily(all)_2011,SingleFamily_2011,Total_2012,MultiFamily(2)_2012,MultiFamily(3to4)_2012,MultiFamily(5)_2012,MultiFamily(all)_2012,SingleFamily_2012,Total_2013,MultiFamily(2)_2013,MultiFamily(3to4)_2013,MultiFamily(5)_2013,MultiFamily(all)_2013,SingleFamily_2013
0,Adelanto,307.0,0.0,0.0,0.0,0.0,307.0,1.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,0.0,41.0,54.0,0.0,0.0,0.0,0.0,54.0,24.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,20.0,58.0,0.0,0.0,0.0,0.0,58.0
1,Agoura Hills,7.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,5.0,5.0,13.0
2,Alameda,106.0,2.0,0.0,0.0,2.0,104.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,16.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,36.0,36.0,1.0
3,Alameda County Unincorporated Area,206.0,4.0,15.0,138.0,157.0,49.0,54.0,6.0,7.0,0.0,13.0,41.0,36.0,0.0,0.0,10.0,10.0,26.0,9.0,0.0,0.0,0.0,0.0,9.0,50.0,0.0,0.0,40.0,40.0,10.0,11.0,0.0,0.0,0.0,0.0,11.0,107.0,0.0,0.0,85.0,85.0,22.0
4,Albany,7.0,0.0,3.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,1.0,6.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
5,Alhambra,78.0,14.0,10.0,35.0,59.0,19.0,92.0,0.0,12.0,63.0,75.0,17.0,73.0,6.0,0.0,50.0,56.0,17.0,57.0,2.0,12.0,30.0,44.0,13.0,100.0,0.0,8.0,80.0,88.0,12.0,7.0,4.0,0.0,0.0,4.0,3.0,159.0,2.0,4.0,152.0,158.0,1.0
6,Aliso Viejo,78.0,0.0,0.0,12.0,12.0,66.0,108.0,0.0,8.0,47.0,55.0,53.0,107.0,0.0,0.0,14.0,14.0,93.0,109.0,0.0,0.0,50.0,50.0,59.0,126.0,0.0,0.0,21.0,21.0,105.0,133.0,0.0,0.0,0.0,0.0,133.0,34.0,0.0,0.0,0.0,0.0,34.0
7,Alpine County,35.0,0.0,0.0,20.0,20.0,15.0,8.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alturas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Amador City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
