,County,NCICCode,Violent_2007,Homicide_2007,Rape_2007,Robbery_2007,Assault_2007,Property_2007,Burglary_2007,VehicleTheft_2007,Larceny_2007,Arson_2007,TotCrimes_2007,Violent_2008,Homicide_2008,Rape_2008,Robbery_2008,Assault_2008,Property_2008,Burglary_2008,VehicleTheft_2008,Larceny_2008,Arson_2008,TotCrimes_2008,Violent_2009,Homicide_2009,Rape_2009,Robbery_2009,Assault_2009,Property_2009,Burglary_2009,VehicleTheft_2009,Larceny_2009,Arson_2009,TotCrimes_2009,Violent_2010,Homicide_2010,Rape_2010,Robbery_2010,Assault_2010,Property_2010,Burglary_2010,VehicleTheft_2010,Larceny_2010,Arson_2010,TotCrimes_2010,Violent_2011,Homicide_2011,Rape_2011,Robbery_2011,Assault_2011,Property_2011,Burglary_2011,VehicleTheft_2011,Larceny_2011,Arson_2011,TotCrimes_2011,Violent_2012,Homicide_2012,Rape_2012,Robbery_2012,Assault_2012,Property_2012,Burglary_2012,VehicleTheft_2012,Larceny_2012,Arson_2012,TotCrimes_2012,Violent_2013,Homicide_2013,Rape_2013,Robbery_2013,Assault_2013,Property_2013,Burglary_2013,VehicleTheft_2013,Larceny_2013,Arson_2013,TotCrimes_2013
0,Alameda County,Alameda Co. Sheriff's Department,683.0,6.0,27.0,293.0,357.0,2864.0,676.0,913.0,1275.0,33.0,9134.0,728.0,5.0,24.0,287.0,412.0,2829.0,626.0,817.0,1386.0,24.0,9146.0,637.0,3.0,28.0,260.0,346.0,2503.0,553.0,793.0,1157.0,33.0,8322.0,698.0,8.0,18.0,235.0,437.0,2212.0,622.0,549.0,1041.0,34.0,7864.0,725.0,3.0,26.0,218.0,478.0,2192.0,650.0,551.0,991.0,19.0,7864.0,651.0,5.0,23.0,206.0,417.0,2662.0,730.0,750.0,1182.0,8.0,8646.0,648.0,5.0,21.0,194.0,428.0,2409.0,659.0,803.0,947.0,21.0,8148.0
1,Alameda County,Alameda,205.0,2.0,9.0,106.0,88.0,1976.0,304.0,245.0,1427.0,17.0,6386.0,210.0,2.0,9.0,107.0,92.0,1875.0,325.0,272.0,1278.0,9.0,6187.0,199.0,4.0,13.0,87.0,95.0,1955.0,325.0,240.0,1390.0,12.0,6329.0,173.0,1.0,15.0,74.0,83.0,1964.0,389.0,215.0,1360.0,10.0,6294.0,207.0,1.0,15.0,94.0,97.0,1898.0,315.0,260.0,1323.0,15.0,6236.0,160.0,1.0,9.0,80.0,70.0,1892.0,296.0,295.0,1301.0,18.0,6134.0,158.0,0.0,10.0,85.0,63.0,1902.0,287.0,330.0,1285.0,17.0,6150.0
2,Alameda County,Albany,45.0,0.0,3.0,33.0,9.0,776.0,173.0,129.0,474.0,3.0,3652.0,50.0,0.0,3.0,30.0,17.0,650.0,88.0,127.0,435.0,0.0,3408.0,45.0,0.0,1.0,36.0,8.0,600.0,112.0,107.0,381.0,17.0,3316.0,37.0,0.0,5.0,24.0,8.0,582.0,95.0,95.0,392.0,4.0,3252.0,37.0,0.0,4.0,26.0,7.0,476.0,85.0,53.0,338.0,2.0,3039.0,35.0,0.0,2.0,26.0,7.0,537.0,116.0,75.0,346.0,4.0,3160.0,29.0,0.0,1.0,24.0,4.0,557.0,94.0,75.0,388.0,7.0,3192.0
3,Alameda County,Berkeley,639.0,5.0,24.0,431.0,179.0,7116.0,1172.0,995.0,4949.0,29.0,17546.0,652.0,8.0,25.0,496.0,123.0,6837.0,1095.0,952.0,4790.0,28.0,17014.0,615.0,6.0,27.0,444.0,138.0,6467.0,1079.0,727.0,4661.0,21.0,16194.0,533.0,5.0,23.0,365.0,140.0,5943.0,1088.0,615.0,4240.0,25.0,14987.0,482.0,1.0,19.0,340.0,122.0,5064.0,976.0,628.0,3460.0,25.0,13128.0,487.0,5.0,39.0,335.0,108.0,5696.0,971.0,641.0,4084.0,15.0,14393.0,562.0,4.0,26.0,410.0,122.0,5377.0,1055.0,664.0,3658.0,16.0,13907.0
4,Alameda County,Emeryville,112.0,1.0,1.0,85.0,25.0,1156.0,144.0,182.0,830.0,0.0,4543.0,131.0,1.0,2.0,97.0,31.0,976.0,119.0,182.0,675.0,0.0,4222.0,160.0,2.0,3.0,67.0,88.0,914.0,109.0,87.0,718.0,1.0,4158.0,128.0,0.0,2.0,58.0,68.0,981.0,113.0,91.0,777.0,0.0,4228.0,208.0,0.0,2.0,73.0,133.0,1257.0,161.0,119.0,977.0,3.0,4944.0,175.0,3.0,4.0,100.0,68.0,1735.0,170.0,175.0,1390.0,1.0,5833.0,132.0,0.0,2.0,70.0,60.0,1651.0,135.0,154.0,1362.0,2.0,5581.0
5,Alameda County,Fremont,606.0,5.0,35.0,232.0,334.0,5173.0,1292.0,773.0,3108.0,18.0,13583.0,575.0,2.0,37.0,232.0,304.0,4893.0,1097.0,697.0,3099.0,26.0,12970.0,490.0,2.0,34.0,217.0,237.0,4978.0,1190.0,551.0,3237.0,19.0,12964.0,488.0,3.0,40.0,189.0,256.0,4414.0,1167.0,490.0,2757.0,22.0,11836.0,384.0,2.0,35.0,156.0,191.0,3952.0,1206.0,443.0,2303.0,19.0,10702.0,306.0,2.0,14.0,132.0,158.0,4259.0,1176.0,581.0,2502.0,16.0,11158.0,273.0,1.0,25.0,136.0,111.0,4097.0,944.0,669.0,2484.0,21.0,10774.0
6,Alameda County,Hayward,881.0,8.0,48.0,538.0,287.0,4667.0,965.0,1681.0,2021.0,60.0,13163.0,868.0,7.0,57.0,517.0,287.0,4537.0,1080.0,1343.0,2114.0,72.0,12890.0,741.0,7.0,29.0,446.0,259.0,4405.0,979.0,1452.0,1974.0,51.0,12352.0,652.0,13.0,48.0,391.0,200.0,3753.0,1097.0,1007.0,1649.0,55.0,10875.0,579.0,7.0,44.0,360.0,168.0,3782.0,988.0,1101.0,1693.0,16.0,10749.0,613.0,6.0,46.0,342.0,219.0,4792.0,1109.0,1456.0,2227.0,34.0,12856.0,589.0,5.0,33.0,333.0,218.0,4844.0,1051.0,1671.0,2122.0,21.0,12900.0
7,Alameda County,Livermore,169.0,1.0,17.0,68.0,83.0,2069.0,385.0,166.0,1518.0,31.0,6514.0,180.0,1.0,18.0,49.0,112.0,1915.0,420.0,135.0,1360.0,20.0,6218.0,161.0,3.0,26.0,55.0,77.0,1727.0,393.0,143.0,1191.0,14.0,5799.0,323.0,0.0,16.0,53.0,254.0,1770.0,369.0,151.0,1250.0,19.0,6215.0,267.0,3.0,14.0,39.0,211.0,1776.0,366.0,127.0,1283.0,10.0,6107.0,301.0,0.0,15.0,32.0,254.0,1805.0,310.0,176.0,1319.0,9.0,6233.0,270.0,0.0,12.0,44.0,214.0,1830.0,387.0,168.0,1275.0,15.0,6228.0
8,Alameda County,Newark,224.0,0.0,11.0,84.0,129.0,1721.0,311.0,232.0,1178.0,9.0,5906.0,174.0,0.0,13.0,68.0,93.0,1870.0,330.0,200.0,1340.0,9.0,6105.0,202.0,1.0,15.0,73.0,113.0,1695.0,328.0,184.0,1183.0,5.0,5808.0,187.0,4.0,7.0,66.0,110.0,1428.0,327.0,127.0,974.0,9.0,5249.0,170.0,1.0,8.0,55.0,106.0,1386.0,385.0,101.0,900.0,3.0,5126.0,169.0,1.0,14.0,69.0,85.0,1349.0,390.0,148.0,811.0,5.0,5053.0,123.0,1.0,9.0,40.0,73.0,1062.0,231.0,173.0,658.0,2.0,4385.0
9,Alameda County,Oakland,7604.0,119.0,299.0,3470.0,3716.0,23664.0,4742.0,9968.0,8954.0,287.0,64830.0,7905.0,115.0,338.0,3323.0,4129.0,21488.0,4488.0,8085.0,8915.0,299.0,61093.0,6793.0,104.0,326.0,2898.0,3465.0,20173.0,4798.0,6542.0,8833.0,223.0,56164.0,6267.0,90.0,318.0,2917.0,2942.0,17325.0,4961.0,4644.0,7720.0,163.0,49357.0,6652.0,104.0,202.0,3365.0,2981.0,20904.0,5170.0,6305.0,9429.0,138.0,57261.0,7962.0,126.0,271.0,4338.0,3227.0,26342.0,6168.0,6976.0,13198.0,188.0,70808.0,7984.0,90.0,180.0,4922.0,2792.0,25176.0,5058.0,6833.0,13285.0,140.0,68473.0
