,SwisNo,UnitNo,SiteName,CountyID,County,Operator,Location,PlaceName,Zip,EnforAgent,Owner,Category,Activity,RegStatus,OpStatus,Latitude,Longitude,SiteID,UnitID
15,37-AA-0954,1,3 Mile Pit Inert Debris Eng Fill Op,37,San Diego,United States Marine Corp Camp Pendleton,1/8 Mile North of Basilone Road,Camp Pendleton (Mil Res)                ,92055,County of San Diego                     ,United States Marine Corp,Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,33.34283,-117.348,10541,10805
17,50-AA-0049,1,"3D Ag, LLC",50,Stanislaus,"3D Ag, LLC",5230 Patterson Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,Albert Deniz,Composting,Composting Operation (Ag),Notification                       ,Active,37.727990000000005,-120.89865,11359,11962
22,33-AA-0308,1,"A. Lua Recycling, Inc.",33,Riverside,"A. Lua Recycling, Inc",18938 Mermack Avenue,Lake Elsinore                           ,92532,County of Riverside,"A. Lua Recycling, Inc",Composting,Composting Operation (Green Waste) ,Notification                       ,Active,33.709990000000005,-117.32864,10703,11081
23,43-AA-0038,1,"ABC Recycle, LLC Small Volume C&D",43,Santa Clara,"ABC Recycle, LLC",215 Leo Ave.,San Jose                                ,95112,City of San Jose                        ,"Danny Investment Group, LLC",Transfer/Processing,Small Vol CDI Debris Proc. Operation,Notification                       ,Active,37.31112,-121.86523999999999,11362,11965
24,19-AA-1134,1,ABC Waste Management IDEFO,19,Los Angeles,ABC Waste Management IDEFO,APN: 2821-009-030,Unincorporated LA County                ,91311,County of Los Angeles,Wayne Fishback,Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,34.27468,-118.60033999999999,11349,11949
25,36-AA-0311,1,Ace Cogeneration Company,36,San Bernardino,Ace Cogeneration,12801 Mariposa Street,Trona                                   ,93562,County of San Bernardino                ,Ace Cogeneration,Disposal,NonHaz Ash Disposal/Monofill,Permitted                          ,Active,35.76574,-117.36993999999999,3393,3434
26,01-AA-0319,1,ACI Bulky Item Sorting & Storage Op.,1,Alameda,Alameda County Industries,601 Alladin Ave.,San Leandro                             ,94577,County of Alameda,The Alladin Depot,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,37.71075,-122.15158999999998,11403,12014
28,07-AA-0002,1,Acme Landfill,7,Contra Costa,Acme Fill Corporation,950 Waterbird Way,Martinez                                ,94553,County of Contra Costa,Acme Fill Corporation,Disposal,Solid Waste Landfill,Permitted                          ,Active,38.02532,-122.0873,263,267
29,19-AR-1250,1,Active RecyclingMRF and Transfer Station,19,Los Angeles,"Active Recycling Company, Inc.",2000 West Slauson Ave.,Los Angeles (City)                      ,90047,City of Los Angeles,Marilyn D. Segal,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,33.98754,-118.31371999999999,11189,11728
30,19-AR-1255,1,Adams Garden Supply,19,Los Angeles,Adams Garden Supply,5169 W. Adams Blvd.,Los Angeles (City)                      ,90016,City of Los Angeles,David Pourbaba,Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,34.03281,-118.35423999999999,11295,11877
