,City,SolarUnitCount,County,Pop_2010,Area_SqMi
0,Twentynine Palms,195,San Bernardino,25048,59.14
1,Acampo,94,,0,0
2,Acton,189,,0,0
3,Adelanto,60,San Bernardino,31765,56.01
4,Agoura,9,,0,0
5,Agoura Hills,399,Los Angeles,20330,7.79
6,Agua Dulce,42,,0,0
7,Aguanga,13,,0,0
8,Ahwahnee,27,,0,0
9,Alamo,290,,0,0
10,Albany,103,Alameda,18539,1.79
11,Albion,14,,0,0
12,Alderpoint,1,,0,0
13,Alhambra,118,Los Angeles,83089,7.63
14,Aliso Viejo,196,Orange,47823,7.47
15,Alpine,371,,0,0
16,Alta,1,,0,0
17,Alta Loma,472,,0,0
18,Altadena,307,,0,0
19,Alton,1,,0,0
20,Alviso,8,,0,0
21,Amador City,2,Amador,185,0.31
22,American Canyon,63,Napa,19454,4.84
23,Anaheim,31,Orange,336265,49.84
24,Anderson,73,Shasta,9932,6.37
25,Angels Camp,69,Calaveras,3836,3.63
26,Angelus Oaks,3,,0,0
27,Angwin,35,,0,0
28,Annapolis,3,,0,0
29,Antioch,464,Contra Costa,102372,28.35
30,Apple Valley,1177,San Bernardino,69135,73.19
31,Applegate,16,,0,0
32,Aptos,199,,0,0
33,Arbuckle,31,,0,0
34,Arcadia,508,Los Angeles,56364,10.93
35,Arcata,36,Humboldt,17231,9.1
36,Armona,17,,0,0
37,Arnold,3,,0,0
38,Aromas,41,,0,0
39,Arrowbear Lake,1,,0,0
40,Arroyo Grande,314,San Luis Obispo,17252,5.84
41,Artesia,30,Los Angeles,16522,1.62
42,Artois,2,,0,0
43,Arvin,26,Kern,19304,4.82
44,Atascadero,215,San Luis Obispo,28310,25.64
45,Atherton,128,San Mateo,6914,5.02
46,Atwater,201,Merced,28168,6.09
47,Auberry,41,,0,0
48,Auburn,530,Placer,13330,7.14
49,Avalon,14,Los Angeles,3728,2.94
50,Avenal,19,Kings,15505,19.42
51,Avery,1,,0,0
52,Avila Beach,6,,0,0
53,Azusa,19,Los Angeles,46361,9.66
54,Badger,3,,0,0
55,Baker,4,,0,0
56,Bakersfield,3622,Kern,347483,142.16
57,Baldwin Park,112,Los Angeles,75390,6.63
58,Ballard,2,,0,0
59,Ballico,12,,0,0
60,Bangor,13,,0,0
61,Banning,37,Riverside,29603,23.1
62,Banta,1,,0,0
63,Barstow,266,San Bernardino,22639,41.38
64,Bay Point,38,,0,0
65,Bayside,17,,0,0
66,Bear Valley Springs,1,,0,0
67,Beaumont,359,Riverside,36877,30.91
68,Bell,10,Los Angeles,35477,2.5
69,Bell Canyon,42,,0,0
70,Bell Gardens,9,Los Angeles,42072,2.46
71,Bella Vista,10,,0,0
72,Bellflower,104,Los Angeles,76616,6.12
73,Belmont,127,San Mateo,25835,4.62
74,Belvedere,25,Marin,2068,0.52
75,Belvedere Tiburon,36,,0,0
76,Ben Lomond,37,,0,0
77,Benicia,147,Solano,26997,12.93
78,Benton,2,,0,0
79,Berenda,1,,0,0
80,Berkeley,856,Alameda,112580,10.47
81,Berry Creek,5,,0,0
82,Bethel Island,10,,0,0
83,Beverly Hills,184,Los Angeles,34109,5.71
84,Bieber,1,,0,0
85,Big Bear City,1,,0,0
86,Big Oak Valley,1,,0,0
87,Big Pine,1,,0,0
88,Big Sur,9,,0,0
89,Biggs,17,Butte,1707,0.64
90,Biola,13,,0,0
91,Bishop,190,Inyo,3879,1.86
92,Black Butte,3,,0,0
93,Bloomfield,1,,0,0
94,Bloomington,62,,0,0
95,Blue Jay,1,,0,0
96,Blue Lake,6,Humboldt,1253,0.59
97,Blythe,200,Riverside,20817,26.19
98,Bodega,5,,0,0
99,Bodega Bay,17,,0,0
