SwisNo,UnitNo,SiteName,CountyID,County,Operator,Location,PlaceName,Zip,EnforAgent,Owner,Category,Activity,RegStatus,OpStatus,Latitude,Longitude,SiteID,UnitID
19-AR-5137,1,101 Disposal Company t (Kaiser),19,Los Angeles,,25965 S Normandie Ave,Harbor City (In Los Angeles)            ,90710,City of Los Angeles,,Disposal                           ,Solid Waste Disposal Site          ,Unpermitted                        ,Closed,33.78814,-118.29831,1956,1987
19-AA-5304,1,121 Street and Buglong Avenue Dump,19,Los Angeles,,11940 South Budlong Avenue,Athens                                  ,90044,County of Los Angeles,"Armstrong, Anthony",Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,33.92337,-118.29591,10442,10673
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,Anthony and Suzanne Montez,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,Barbara Morrow,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,Cozzitoro Family,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,Donald Smith,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,"Geremia Pool Service, Inc.",Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,"Ionos, Inc.",Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,K and M Recycling,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,Patricio and Delia Mercado,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,"PCBP Properties, Inc.",Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,"Sacramento for Tractors, Inc.",Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,SCN 14 LLC,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
34-AA-0016,1,14th Avenue Landfill (East / West pits),34,Sacramento,,No. Side of 14th Ave; E + W of RR Tracks,Sacramento                              ,95826,County of Sacramento,Ted Avdalas,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.54055,-121.41118,3130,3164
37-CR-0001,1,26th Street Landfill                    ,37,San Diego,,26th St Nr. Balb. Pk                    ,San Diego                               ,92104,City of San Diego                       ,City Of San Diego,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,32.725,-117.14167,3799,3841
37-AA-0954,1,3 Mile Pit Inert Debris Eng Fill Op,37,San Diego,United States Marine Corp Camp Pendleton,1/8 Mile North of Basilone Road,Camp Pendleton (Mil Res)                ,92055,County of San Diego                     ,United States Marine Corp,Disposal                           ,Inert Debris ENG Fill Operation,Notification                       ,Active                             ,33.34283,-117.348,10541,10805
37-CR-0114,1,38th And Quince Street Burnash Site,37,San Diego,,38th Street And Quince,San Diego                               ,92101,City of San Diego                       ,Multiple Owners                         ,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,32.73589,-117.11123,3908,10000
50-AA-0049,1,"3D Ag, LLC",50,Stanislaus,"3D Ag, LLC",5230 Patterson Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,Albert Deniz,Composting                         ,Composting Operation (Ag),Notification                       ,Active                             ,37.72799,-120.89865,11359,11962
41-AA-0010,1,3rd Ave LF/San Mateo Composting Site,41,San Mateo,City Of San Mateo Public Works,East Third Ave; Along The Sf Bay,San Mateo                               ,94404,County of San Mateo                     ,City Of San Mateo Public Works,Disposal                           ,Solid Waste Landfill,Permitted                          ,Closed,37.5708,-122.2766,4168,4222
19-AR-5575,1,59th Street Recycle                     ,19,Los Angeles,CSH Environmental,905 East 59th Street                    ,Los Angeles (City)                      ,99999,City of Los Angeles,CSH Environmental,Transfer/Processing                ,Limited Volume Transfer Operation,Notification                       ,Abandoned                          ,34.05,-118.25,1993,2024
19-AA-0070,1,75th St East & Little Rock Disposal Site,19,Los Angeles,,75th Street And Avenue `u`,Lancaster                               ,93543,County of Los Angeles,,Disposal                           ,Solid Waste Disposal Site          ,Unpermitted                        ,Clean Closed                       ,34.7466,-118.40932,1397,1425
37-AA-0430,1,8th Avenue Tideland Dump,37,San Diego,,50 8th Avenue,San Diego                               ,99999,City of San Diego                       ,Port of San Diego,Disposal                           ,Solid Waste Disposal Site          ,Unpermitted                        ,Closed,32.70516,-117.15731,3745,3787
33-AA-0308,1,"A. Lua Recycling, Inc.",33,Riverside,"A. Lua Recycling, Inc",18938 Mermack Avenue,Lake Elsinore                           ,92532,County of Riverside,"A. Lua Recycling, Inc",Composting                         ,Composting Operation (Green Waste) ,Notification                       ,Active                             ,33.70999,-117.32864,10703,11081
43-AA-0038,1,"ABC Recycle, LLC Small Volume C&D",43,Santa Clara,"ABC Recycle, LLC",215 Leo Ave.,San Jose                                ,95112,City of San Jose                        ,"Danny Investment Group, LLC",Transfer/Processing                ,Small Vol CDI Debris Proc. Operation,Notification                       ,Active                             ,37.31112,-121.86524,11362,11965
19-AA-1134,1,ABC Waste Management IDEFO,19,Los Angeles,ABC Waste Management IDEFO,APN: 2821-009-030,Unincorporated LA County                ,91311,County of Los Angeles,Wayne Fishback,Disposal                           ,Inert Debris ENG Fill Operation,Notification                       ,Active                             ,34.27468,-118.60034,11349,11949
36-AA-0311,1,Ace Cogeneration Company,36,San Bernardino,Ace Cogeneration,12801 Mariposa Street,Trona                                   ,93562,County of San Bernardino                ,Ace Cogeneration,Disposal                           ,NonHaz Ash Disposal/Monofill,Permitted                          ,Active                             ,35.76574,-117.36994,3393,3434
01-AA-0319,1,ACI Bulky Item Sorting & Storage Op.,1,Alameda,Alameda County Industries,601 Alladin Ave.,San Leandro                             ,94577,County of Alameda,The Alladin Depot,Transfer/Processing                ,Limited Volume Transfer Operation,Notification                       ,Active                             ,37.71075,-122.15159,11403,12014
07-AA-0035,1,Acme Composting Compost Facility        ,7,Contra Costa,Acme Fill Corporation,"950 Waterbird Wy, E Parcel Acme Lf      ",Martinez                                ,94553,County of Contra Costa,Keller Canyon Landfill,Composting                         ,Composting Facility (Green Waste)  ,Exempt                             ,Clean Closed                       ,38.01667,-122.13333,277,281
07-AA-0002,1,Acme Landfill,7,Contra Costa,Acme Fill Corporation,950 Waterbird Way,Martinez                                ,94553,County of Contra Costa,Acme Fill Corporation,Disposal                           ,Solid Waste Landfill,Permitted                          ,Active                             ,38.02532,-122.0873,263,267
19-AR-1250,1,Active RecyclingMRF and Transfer Station,19,Los Angeles,"Active Recycling Company, Inc.",2000 West Slauson Ave.,Los Angeles (City)                      ,90047,City of Los Angeles,Marilyn D. Segal,Transfer/Processing                ,Large Volume Transfer/Proc Facility,Permitted                          ,Active                             ,33.98754,-118.31372,11189,11728
19-AR-1255,1,Adams Garden Supply,19,Los Angeles,Adams Garden Supply,5169 W. Adams Blvd.,Los Angeles (City)                      ,90016,City of Los Angeles,David Pourbaba,Composting                         ,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active                             ,34.03281,-118.35424,11295,11877
36-AA-0043,1,Adelanto Disposal Site,36,San Bernardino,,3 1/2 Mi N Of Adelanto; W Of Hwy 395,Adelanto                                ,92301,County of San Bernardino                ,County of San Bernardino S.W. Mgt Div,Disposal                           ,Solid Waste Disposal Site          ,Unpermitted                        ,Closed,34.58833,-117.41833,3342,3383
18-CR-0009,1,Adin Dump,18,Lassen,,1/8 Mi W/O Hwys 139 & 299,Bieber                                  ,96054,County of Lassen,Edgerton Lumber Co                      ,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,41.18,-120.945,1324,1343
25-AA-0015,1,Adin Transfer Station,25,Modoc,County Of Modoc Public Works Dept,Lassen County Rd #88; 1 Mi Se Of Adin,Adin                                    ,96006,County of Modoc,US Dept Of Int Bur Of Land Mgmt-Alturas,Transfer/Processing                ,Limited Volume Transfer Operation,Notification                       ,Active                             ,41.18306,-120.92806,2428,2460
37-CR-0002,1,Admiral Baker Golf Course,37,San Diego,US Dept Of Navy-China Lake,2400 Blk Admiral Baker Road,San Diego                               ,99999,City of San Diego                       ,US Dept Of Navy-China Lake,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,32.79373,-117.1049,3800,3842
36-AA-0337,4,Advance Disposal Center for the Environm,36,San Bernardino,Advance Disposal Company,17105 Mesa Street,Hesperia                                ,92345,County of San Bernardino                ,Advance Disposal Company,Composting                         ,Chipping and Grinding Activity Fac./ Op.,Permitted                          ,Active                             ,34.44517,-117.29007,3416,10926
36-AA-0337,1,Advance Disposal Center for the Environm,36,San Bernardino,Advance Disposal Company,17105 Mesa Street,Hesperia                                ,92345,County of San Bernardino                ,Advance Disposal Company,Transfer/Processing                ,Large Volume Transfer/Proc Facility,Permitted                          ,Active                             ,34.44517,-117.29007,3416,3457
36-AA-0337,6,Advance Disposal Center for the Environm,36,San Bernardino,Advance Disposal Company,17105 Mesa Street,Hesperia                                ,92345,County of San Bernardino                ,Advance Disposal Company,Transfer/Processing                ,Small Vol CDI Debris Proc. Operation,Permitted                          ,Active                             ,34.44517,-117.29007,3416,11072
36-AA-0337,7,Advance Disposal Center for the Environm,36,San Bernardino,Advance Disposal Company,17105 Mesa Street,Hesperia                                ,92345,County of San Bernardino                ,Advance Disposal Company,Waste Tire Site                    ,Waste Tire Location                ,Permitted                          ,Active                             ,34.44517,-117.29007,3416,11748
34-AA-0006,1,Aerojet Rocketdyne Inc.,34,Sacramento,Aerojet Rocketdyne Inc.,3 Mi S Folsom; 1/2 Mi S Hwy 50,Rancho Cordova                          ,95742,County of Sacramento,Aerojet Rocketdyne Inc.,Disposal                           ,Solid Waste Disposal Site          ,Permitted                          ,Closed,38.63467,-121.1765,3122,3156
23-AA-0022,1,Ag Soil Amendment - Lawrence            ,23,Mendocino,,6500 Albion Airport Road                ,Albion                                  ,95410,County of Mendocino                     ,Lawrence B                              ,Disposal                           ,Solid Waste Disposal Site          ,Permitted                          ,Closed,39.21667,-123.76667,2281,2312
23-AA-0023,1,Ag Soil Amendment Program - H Bar H,23,Mendocino,H Bar H Ranch                           ,3 1/2 Mi S Point Arena,Point Arena                             ,95468,County of Mendocino                     ,H Bar H Ranch                           ,Disposal                           ,Treatment Unit (in situ)           ,Exempt                             ,Active                             ,38.87964,-123.66246,2282,2313
19-AA-5305,1,Agajanian Dump,19,Los Angeles,,700 Rea Drive,Montebello                              ,90640,County of Los Angeles,City of Montebello,Disposal                           ,Solid Waste Disposal Site          ,Unpermitted                        ,Closed,34.01816,-118.08978,10358,10564
19-AA-1040,1,Agoura Road Limited Volume Transfer Op.,19,Los Angeles,Los Angeles Co Dept Of P.W. Flood M.D.,29020 Agoura Road,Agoura Hills                            ,91301,County of Los Angeles,Los Angeles Co. Flood Control District  ,Transfer/Processing                ,Limited Volume Transfer Operation,Notification                       ,Closed,34.14332,-118.75753,1527,1555
33-AA-0360,1,Agriscape Inc. C&D Wood Chip & Grind,33,Riverside,"Agriscape, Inc.",37760 Borel Rd.,Murrieta                                ,95563,County of Riverside,"Borel, Alexander A.                     ",Transfer/Processing                ,Small Vol CD Wood Debris ChipGrind Op,Notification                       ,Active                             ,33.56343,-117.13378,11374,11979
33-AA-0320,1,"Agriscape, Inc.",33,Riverside,"Agriscape, Inc.",37760 Borel Rd.,Murrieta                                ,92563,County of Riverside,Alex A. Borel,Composting                         ,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active                             ,33.56343,-117.13378,11033,11542
33-AA-0307,1,"Agriscape, Incorporated",33,Riverside,"Agriscape, Inc.",18712 Bridge Street,Lakeview                                ,92582,County of Riverside,"Almejo, Richardo",Composting                         ,Composting Operation (Green Waste) ,Notification                       ,Active                             ,33.85858,-117.0598,10702,11080
36-AA-0476,1,Agromin Chino Green Mat. Composting Op.,36,San Bernardino,"Agromin, Inc.",8100 Chino-Corona Rd.,Chino                                   ,91708,County of San Bernardino                ,"Chino Holding, LLC",Composting                         ,Composting Operation (Green Waste) ,Notification                       ,Active                             ,33.94723,-117.63134,11318,11910
30-AB-0446,1,Agromin Los Alamitos Compost Operations,30,Orange,"Agromin Orange, LLC",4216 Constitution Ave.,Los Alamitos                            ,90720,County of Orange                        ,U.S. Army Corps of Engineers-LA District,Composting                         ,Composting Operation (Ag),Notification                       ,Inactive,33.78834,-118.04689,10948,11436
56-AA-0165,1,Agromin Organics Recy. Composting Fac.,56,Ventura,"Agromin Orange, LLC",6859 Arnold Rd.,Oxnard                                  ,93033,County of Ventura,"Shoreline Arnold Rd., LLC",Composting                         ,Composting Operation (Research)    ,Notification                       ,Active                             ,34.12627,-119.15553,11096,11623
56-AA-0138,1,Agromin Organics Recycling,56,Ventura,"California Wood Recycling, Inc.",6859 Arnold Road,Port Hueneme                            ,93041,County of Ventura,USA Petroleum,Composting                         ,Composting Operation (Green Waste) ,Notification                       ,Active                             ,34.12602,-119.1565,5141,5228
56-AA-0138,2,Agromin Organics Recycling,56,Ventura,"California Wood Recycling, Inc.",6859 Arnold Road,Port Hueneme                            ,93041,County of Ventura,USA Petroleum,Composting                         ,Composting Operation (Research)    ,Surrendered                        ,Closed,34.12602,-119.1565,5141,11104
56-AA-0169,1,Agromin Organics Recycling (SmartFerm),56,Ventura,Agromin Organics Recycling,6859 Arnold Rd.,Oxnard                                  ,93033,County of Ventura,"Shoreline Arnold Rd., LLC",Composting                         ,Composting Operation (Research)    ,Notification                       ,Active                             ,34.12527,-119.1553,11207,11758
27-AA-0119,1,"AgroThrive, Inc.",27,Monterey,Agrothrive Inc.,26775 Old Stage Rd.,Gonzales                                ,93926,County of Monterey                      ,M&M Dairy,Composting                         ,Composting Facility (Other),Permitted                          ,Active                             ,36.53543,-121.4628,10994,11499
36-AA-0019,1,Agua Mansa Landfill,36,San Bernardino,"Yeager, E L Construction Co",588 East Agua Mansa Road,Rialto                                  ,92376,County of San Bernardino                ,Agua Mansa Properties,Disposal                           ,Inert Debris ENG Fill Operation,Notification                       ,Active                             ,34.05178,-117.35956,3331,3372
36-AA-0440,1,"Aguinaga Company, Inc.",36,San Bernardino,"Aguinaga, Roger, Aguinaga Co., Inc.",2046 Agua Mansa Road,Colton                                  ,92324,County of San Bernardino                ,"Aguinaga, Roger, Aguinaga Co., Inc.",Composting                         ,Composting Operation (Green Waste) ,Notification                       ,Closed,34.04254,-117.36256,10592,10889
49-CR-0040,1,Ahlgrim Site,49,Sonoma,,7777 Lakeville Rd.,Petaluma                                ,94954,County of Sonoma,Russ Ahlgrim,Disposal                           ,Solid Waste Disposal Site          ,Unpermitted                        ,Closed,38.25028,-122.55611,11252,11819
49-CR-0027,1,Airport Disposal Site                   ,49,Sonoma,County Of Sonoma Public Works Dept,5200 Slusser Road                       ,Windsor                                 ,95492,County of Sonoma,County Of Sonoma Public Works Dept,Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,38.50694,-122.82417,4723,4798
07-AA-0054,1,Airport Ranch Sludge Spreading,7,Contra Costa,County Of Contra Costa Public Works Dep,Holey Road,Byron                                   ,94514,County of Contra Costa,County Of Contra Costa Public Works Dep,Disposal                           ,Land Application                   ,Exempt                             ,Active                             ,37.83159,-121.61862,291,295
19-AA-0804,1,Alabama Street MDY  (Tree Yard),19,Los Angeles,City of Los Angeles Bureau of St Maint.,7725 Alabama Avenue,Canoga Park (In Los Angeles)            ,91304,City of Los Angeles,City of Los Angeles Bureau of St. Maint.,Transfer/Processing                ,Limited Volume Transfer Operation,Notification                       ,Active                             ,34.21051,-118.59939,1458,1486
01-AA-0290,1,Alameda Co Industries Direct Trans. Fac.,1,Alameda,Alameda County Industries,610 Aladdin Avenue,San Leandro                             ,94577,County of Alameda,Alameda County Industries,Transfer/Processing                ,Large Volume Transfer/Proc Facility,Permitted                          ,Active                             ,37.7097,-122.15127,10057,10071
01-AA-0291,1,Alameda County Industries (SCTO),1,Alameda,Alameda County Industries,610 Aladdin Avenue,San Leandro                             ,94577,County of Alameda,County of Alameda,Transfer/Processing                ,Sealed Container Transfer Operation,Notification                       ,Active                             ,37.70986,-122.15128,10256,10422
01-CR-0041,1,Alameda Point OU3 (Former NAS Alameda),1,Alameda,,Alameda Point,Alameda                                 ,94501,County of Alameda,U S Dept. of Navy (Southwest Div.),Disposal                           ,Solid Waste Disposal Site          ,Pre-regulations                    ,Closed,37.79528,-122.33167,67,69
