"SwisNo","UnitNo","SiteName",CountyID,"County","Operator","Location","PlaceName","Zip","EnforAgent","Owner","Category","Activity","RegStatus","OpStatus",Latitude,Longitude,SiteID,UnitID
"19-AR-5137","01","101 Disposal Company t (Kaiser)",19,"Los Angeles","","25965 S Normandie Ave","Harbor City (In Los Angeles)            ","90710     ","City of Los Angeles","","Disposal                           ","Solid Waste Disposal Site          ","Unpermitted                        ","Closed",33.788139999999999,-118.29831,1956,1987
"19-AA-5304","01","121 Street and Buglong Avenue Dump",19,"Los Angeles","","11940 South Budlong Avenue","Athens                                  ","90044     ","County of Los Angeles","Armstrong, Anthony","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",33.923369999999998,-118.29591000000001,10442,10673
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Anthony and Suzanne Montez","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Barbara Morrow","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Cozzitoro Family","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Donald Smith","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Geremia Pool Service, Inc.","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Ionos, Inc.","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","K and M Recycling","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Patricio and Delia Mercado","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","PCBP Properties, Inc.","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Sacramento for Tractors, Inc.","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","SCN 14 LLC","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"34-AA-0016","01","14th Avenue Landfill (East / West pits)",34,"Sacramento","","No. Side of 14th Ave; E + W of RR Tracks","Sacramento                              ","95826     ","County of Sacramento","Ted Avdalas","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",38.540550000000003,-121.41118,3130,3164
"37-CR-0001","01","26th Street Landfill                    ",37,"San Diego","","26th St Nr. Balb. Pk                    ","San Diego                               ","92104     ","City of San Diego                       ","City Of San Diego","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",32.725000000000001,-117.14167,3799,3841
"37-AA-0954","01","3 Mile Pit Inert Debris Eng Fill Op",37,"San Diego","United States Marine Corp Camp Pendleton","1/8 Mile North of Basilone Road","Camp Pendleton (Mil Res)                ","92055     ","County of San Diego                     ","United States Marine Corp","Disposal                           ","Inert Debris ENG Fill Operation","Notification                       ","Active                             ",33.342829999999999,-117.348,10541,10805
"37-CR-0114","01","38th And Quince Street Burnash Site",37,"San Diego","","38th Street And Quince","San Diego                               ","92101     ","City of San Diego                       ","Multiple Owners                         ","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",32.735889999999998,-117.11123000000001,3908,10000
"50-AA-0049","01","3D Ag, LLC",50,"Stanislaus","3D Ag, LLC","5230 Patterson Rd.","Oakdale                                 ","95361     ","CalRecycle Enforcement Agency","Albert Deniz","Composting                         ","Composting Operation (Ag)","Notification                       ","Active                             ",37.727989999999998,-120.89865,11359,11962
"41-AA-0010","01","3rd Ave LF/San Mateo Composting Site",41,"San Mateo","City Of San Mateo Public Works","East Third Ave; Along The Sf Bay","San Mateo                               ","94404     ","County of San Mateo                     ","City Of San Mateo Public Works","Disposal                           ","Solid Waste Landfill","Permitted                          ","Closed",37.570799999999998,-122.2766,4168,4222
"19-AR-5575","01","59th Street Recycle                     ",19,"Los Angeles","CSH Environmental","905 East 59th Street                    ","Los Angeles (City)                      ","99999     ","City of Los Angeles","CSH Environmental","Transfer/Processing                ","Limited Volume Transfer Operation","Notification                       ","Abandoned                          ",34.049999999999997,-118.25,1993,2024
"19-AA-0070","01","75th St East & Little Rock Disposal Site",19,"Los Angeles","","75th Street And Avenue `u`","Lancaster                               ","93543     ","County of Los Angeles","","Disposal                           ","Solid Waste Disposal Site          ","Unpermitted                        ","Clean Closed                       ",34.746600000000001,-118.40931999999999,1397,1425
"37-AA-0430","01","8th Avenue Tideland Dump",37,"San Diego","","50 8th Avenue","San Diego                               ","99999     ","City of San Diego                       ","Port of San Diego","Disposal                           ","Solid Waste Disposal Site          ","Unpermitted                        ","Closed",32.705159999999999,-117.15731,3745,3787
"33-AA-0308","01","A. Lua Recycling, Inc.",33,"Riverside","A. Lua Recycling, Inc","18938 Mermack Avenue","Lake Elsinore                           ","92532     ","County of Riverside","A. Lua Recycling, Inc","Composting                         ","Composting Operation (Green Waste) ","Notification                       ","Active                             ",33.709989999999998,-117.32863999999999,10703,11081
"43-AA-0038","01","ABC Recycle, LLC Small Volume C&D",43,"Santa Clara","ABC Recycle, LLC","215 Leo Ave.","San Jose                                ","95112     ","City of San Jose                        ","Danny Investment Group, LLC","Transfer/Processing                ","Small Vol CDI Debris Proc. Operation","Notification                       ","Active                             ",37.311120000000003,-121.86524,11362,11965
"19-AA-1134","01","ABC Waste Management IDEFO",19,"Los Angeles","ABC Waste Management IDEFO","APN: 2821-009-030","Unincorporated LA County                ","91311     ","County of Los Angeles","Wayne Fishback","Disposal                           ","Inert Debris ENG Fill Operation","Notification                       ","Active                             ",34.274679999999996,-118.60034,11349,11949
"36-AA-0311","01","Ace Cogeneration Company",36,"San Bernardino","Ace Cogeneration","12801 Mariposa Street","Trona                                   ","93562     ","County of San Bernardino                ","Ace Cogeneration","Disposal                           ","NonHaz Ash Disposal/Monofill","Permitted                          ","Active                             ",35.765740000000001,-117.36994,3393,3434
"01-AA-0319","01","ACI Bulky Item Sorting & Storage Op.",1,"Alameda","Alameda County Industries","601 Alladin Ave.","San Leandro                             ","94577     ","County of Alameda","The Alladin Depot","Transfer/Processing                ","Limited Volume Transfer Operation","Notification                       ","Active                             ",37.710749999999997,-122.15159,11403,12014
"07-AA-0035","01","Acme Composting Compost Facility        ",7,"Contra Costa","Acme Fill Corporation","950 Waterbird Wy, E Parcel Acme Lf      ","Martinez                                ","94553     ","County of Contra Costa","Keller Canyon Landfill","Composting                         ","Composting Facility (Green Waste)  ","Exempt                             ","Clean Closed                       ",38.016669999999998,-122.13333,277,281
"07-AA-0002","01","Acme Landfill",7,"Contra Costa","Acme Fill Corporation","950 Waterbird Way","Martinez                                ","94553     ","County of Contra Costa","Acme Fill Corporation","Disposal                           ","Solid Waste Landfill","Permitted                          ","Active                             ",38.025320000000001,-122.0873,263,267
"19-AR-1250","01","Active RecyclingMRF and Transfer Station",19,"Los Angeles","Active Recycling Company, Inc.","2000 West Slauson Ave.","Los Angeles (City)                      ","90047     ","City of Los Angeles","Marilyn D. Segal","Transfer/Processing                ","Large Volume Transfer/Proc Facility","Permitted                          ","Active                             ",33.987540000000003,-118.31372,11189,11728
"19-AR-1255","01","Adams Garden Supply",19,"Los Angeles","Adams Garden Supply","5169 W. Adams Blvd.","Los Angeles (City)                      ","90016     ","City of Los Angeles","David Pourbaba","Composting                         ","Chipping and Grinding Activity Fac./ Op.","Notification                       ","Active                             ",34.032809999999998,-118.35424,11295,11877
"36-AA-0043","01","Adelanto Disposal Site",36,"San Bernardino","","3 1/2 Mi N Of Adelanto; W Of Hwy 395","Adelanto                                ","92301     ","County of San Bernardino                ","County of San Bernardino S.W. Mgt Div","Disposal                           ","Solid Waste Disposal Site          ","Unpermitted                        ","Closed",34.588329999999999,-117.41833,3342,3383
"18-CR-0009","01","Adin Dump",18,"Lassen","","1/8 Mi W/O Hwys 139 & 299","Bieber                                  ","96054     ","County of Lassen","Edgerton Lumber Co                      ","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",41.18,-120.94499999999999,1324,1343
"25-AA-0015","01","Adin Transfer Station",25,"Modoc","County Of Modoc Public Works Dept","Lassen County Rd #88; 1 Mi Se Of Adin","Adin                                    ","96006     ","County of Modoc","US Dept Of Int Bur Of Land Mgmt-Alturas","Transfer/Processing                ","Limited Volume Transfer Operation","Notification                       ","Active                             ",41.183059999999998,-120.92806,2428,2460
"37-CR-0002","01","Admiral Baker Golf Course",37,"San Diego","US Dept Of Navy-China Lake","2400 Blk Admiral Baker Road","San Diego                               ","99999     ","City of San Diego                       ","US Dept Of Navy-China Lake","Disposal                           ","Solid Waste Disposal Site          ","Pre-regulations                    ","Closed",32.793729999999996,-117.1049,3800,3842
"36-AA-0337","04","Advance Disposal Center for the Environm",36,"San Bernardino","Advance Disposal Company","17105 Mesa Street","Hesperia                                ","92345     ","County of San Bernardino                ","Advance Disposal Company","Composting                         ","Chipping and Grinding Activity Fac./ Op.","Permitted                          ","Active                             ",34.445169999999997,-117.29007,3416,10926
"36-AA-0337","01","Advance Disposal Center for the Environm",36,"San Bernardino","Advance Disposal Company","17105 Mesa Street","Hesperia                                ","92345     ","County of San Bernardino                ","Advance Disposal Company","Transfer/Processing                ","Large Volume Transfer/Proc Facility","Permitted                          ","Active                             ",34.445169999999997,-117.29007,3416,3457
"36-AA-0337","06","Advance Disposal Center for the Environm",36,"San Bernardino","Advance Disposal Company","17105 Mesa Street","Hesperia                                ","92345     ","County of San Bernardino                ","Advance Disposal Company","Transfer/Processing                ","Small Vol CDI Debris Proc. Operation","Permitted                          ","Active                             ",34.445169999999997,-117.29007,3416,11072
"36-AA-0337","07","Advance Disposal Center for the Environm",36,"San Bernardino","Advance Disposal Company","17105 Mesa Street","Hesperia                                ","92345     ","County of San Bernardino                ","Advance Disposal Company","Waste Tire Site                    ","Waste Tire Location                ","Permitted                          ","Active                             ",34.445169999999997,-117.29007,3416,11748
"34-AA-0006","01","Aerojet Rocketdyne Inc.",34,"Sacramento","Aerojet Rocketdyne Inc.","3 Mi S Folsom; 1/2 Mi S Hwy 50","Rancho Cordova                          ","95742     ","County of Sacramento","Aerojet Rocketdyne Inc.","Disposal                           ","Solid Waste Disposal Site          ","Permitted                          ","Closed",38.63467,-121.1765,3122,3156
"23-AA-0022","01","Ag Soil Amendment - Lawrence            ",23,"Mendocino","","6500 Albion Airport Road                ","Albion                                  ","95410     ","County of Mendocino                     ","Lawrence B                              ","Disposal                           ","Solid Waste Disposal Site          ","Permitted                          ","Closed",39.216670000000001,-123.76667,2281,2312
"23-AA-0023","01","Ag Soil Amendment Program - H Bar H",23,"Mendocino","H Bar H Ranch                           ","3 1/2 Mi S Point Arena","Point Arena                             ","95468     ","County of Mendocino                     ","H Bar H Ranch                           ","Disposal                           ","Treatment Unit (in situ)           ","Exempt                             ","Active                             ",38.879640000000002,-123.66246,2282,2313
