Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Nonfamily households - Mean nonfamily income (dollars),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Total; Estimate; Population 25 to 34 years - High school graduate or higher,"Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median earnings for male full-time, year-round workers (dollars)",MedianAgeYears,Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Mean family income (dollars),County,Total; Estimate; Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; Bachelor's degree or higher,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars),Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Total; Estimate; High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,"Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median earnings for female full-time, year-round workers (dollars)",Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Nonfamily households - Median nonfamily income (dollars),Total; Estimate; Population 45 to 64 years - High school graduate or higher,Jurisdiction,Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars),Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Total; Estimate; Less than high school graduate
35388.0,30.6,21486.0,36868.0,36.9,40524.0,75.4,42218.0,25.3,44509.0,San Bernardino,30.1,42054.0,2.6,1.11,11049.0,36.9,42.0,22193.0,30078.0,8.2,29979.0,29051.0,66.3,Adelanto,14052.0,5005.0,5.3,25.2
89453.0,23.8,16178.0,42832.0,29.2,122793.0,95.9,96486.0,42.4,151401.0,Los Angeles,35.2,71862.0,23.2,1.04,10120.0,29.2,33.3,100640.0,63327.0,58.1,31687.0,68169.0,96.5,Agoura Hills,34857.0,4704.0,53.9,8.4
68888.0,21.6,22294.0,39782.0,28.7,90640.0,96.9,65771.0,40.7,118871.0,Alameda,51.1,57897.0,18.0,1.07,9415.0,28.7,22.3,89065.0,57344.0,46.5,26449.0,54552.0,89.9,Alameda,33861.0,5014.0,53.2,8.7
75888.0,18.3,17065.0,31851.0,29.9,94206.0,98.8,73162.0,37.0,109373.0,Alameda,36.2,58867.0,30.7,1.09,8137.0,29.9,17.7,64236.0,65951.0,71.6,38790.0,48882.0,94.5,Albany,44138.0,2657.0,80.0,15.4
52568.0,18.6,16331.0,34771.0,29.3,58332.0,93.5,44107.0,39.3,75685.0,Los Angeles,53.3,48917.0,15.5,1.07,10092.0,29.3,21.7,62200.0,40676.0,26.8,25344.0,40466.0,76.0,Alhambra,22491.0,6980.0,40.8,9.5
86047.0,14.6,17482.0,52721.0,25.4,120237.0,95.1,80949.0,35.1,129184.0,Orange,55.0,76319.0,13.6,1.07,10293.0,25.4,22.6,86162.0,65091.0,53.6,42140.0,73400.0,95.8,Aliso Viejo,26263.0,8548.0,60.9,8.8
62248.0,14.6,21816.0,40913.0,31.2,95282.0,92.1,74602.0,41.9,120722.0,Alpine,48.3,82344.0,8.9,1.09,10649.0,31.2,33.8,62813.0,51332.0,27.3,37740.0,40577.0,89.4,Alpine,29898.0,5684.0,29.5,9.0
22639.0,63.5,,29250.0,9.3,56583.0,96.7,44219.0,39.9,60217.0,Modoc,39.0,24508.0,15.5,1.06,8353.0,9.3,31.0,,35905.0,14.7,27000.0,22746.0,87.6,Alturas,18898.0,8167.0,19.1,14.6
46073.0,100.0,,10000.0,36.9,60938.0,100.0,50417.0,43.5,74424.0,Amador,35.7,95000.0,0.0,1.05,7913.0,36.9,64.3,46875.0,103750.0,37.3,11250.0,9779.0,89.3,Amador City,33800.0,,100.0,0.0
69347.0,9.8,27372.0,42111.0,31.7,91372.0,89.5,54983.0,35.5,104505.0,Napa,44.7,61056.0,6.7,1.1,8534.0,31.7,32.9,85109.0,50712.0,31.4,31362.0,47297.0,82.3,American Canyon,29166.0,6173.0,37.8,15.7
